Species	Status	min_age	max_age
Cypraea	extinct	23.04	27.03
Cypraea_(Luponia)_subchinensis	extinct	5.333	11.63
Cypraea_(Erosaria)_malekulensis	extinct	2.58	5.333
Erronea_cylindrica	extinct	0.0117	2.58
Monetaria_moneta	extant	0.0117	2.58
Monetaria_moneta	extant	0.0117	2.58
Naria_erosa	extant	0.0117	2.58
Monetaria_moneta	extant	0	0.0117
Ipsa_childreni	extant	0.0117	0.129
Cypraea_(Lyncina)_lynx	extant	0.0117	0.129
Monetaria_moneta	extant	3.6	5.333
Ipsa_childreni	extant	5.333	11.63
Cypraea_tigris	extinct	5.333	11.63
Pustularia_globulus	extant	0.0117	2.58
Naria_erosa	extant	0.0117	5.333
Cypraea_(Erosaria)_caputserpentis	extant	0.0117	5.333
Monetaria_moneta	extant	0.0117	5.333
Ipsa_childreni	extant	0.0117	5.333
Lyncina_carneola	extant	0.0117	5.333
Cypraea_(Lyncina)_lynx	extant	0.0117	5.333
Talparia_talpa	extant	0.0117	5.333
Mauritia_arabica	extant	0.0117	5.333
Luria_isabella	extant	0.0117	5.333
Purpuradusta_gracilis	extant	0.129	0.774
Adusta_pulchella	extant	0.129	0.774
Erronea_pyriformis	extant	0.129	0.774
Notadusta_punctata	extant	0.129	0.774
Pedicularia_navakaensis	extinct	0.0117	2.58
Monetaria_moneta	extant	0	0.0117
Luria_isabella	extant	0	0.0117
Ipsa_childreni	extant	0	0.0117
Pedicularia_pacifica	extant	0	0.0117
Cypraea_(Erosaria)_helvola	extant	0.774	2.58
Cypraea_(Erosaria)_helvola	extant	0.774	2.58
Cypraea_(Staphylaea)_nucleus	extant	0.774	2.58
Cypraea_(Lyncina)_lynx	extant	0.0117	2.58
Lyncina_carneola	extant	0.0117	2.58
Pustularia_cicercula	extant	0.0117	2.58
Cypraea_(Erosaria)_caputserpentis	extant	0.0117	2.58
Cypraea_(Lyncina)_porteri	extant	0.129	0.774
Cypraea_(Erosaria)_helvola	extant	0.129	0.774
Cypraea_(Erosaria)_guttata	extant	0.129	0.774
Cypraea_(Erosaria)_guttata	extant	0.0117	2.58
Erosaria_miliaris	extinct	2.58	3.6
